,Km,EngSize,Hp,Fuel Consumption,Price,Age,Fiat,Ford,Renault,Toyota,Volkswagen,Manuel,Automatic,Semi-Automatic,Benzin,Diesel,Hybrid,Benzin&LPG
0,6500,1368,95,6.4,565000,1,1,0,0,0,0,1,0,0,1,0,0,0
1,32000,1368,95,6.6,520000,2,1,0,0,0,0,1,0,0,1,0,0,0
2,52000,1368,95,6.4,483000,2,1,0,0,0,0,1,0,0,1,0,0,0
3,48000,1368,95,5.7,410000,4,1,0,0,0,0,1,0,0,1,0,0,0
4,6100,1368,95,6.4,497000,1,1,0,0,0,0,1,0,0,1,0,0,0
5,83000,1248,95,4.1,412500,6,1,0,0,0,0,1,0,0,0,1,0,0
6,73500,1248,95,4.1,422500,5,1,0,0,0,0,1,0,0,0,1,0,0
7,38000,1368,95,5.7,420000,3,1,0,0,0,0,1,0,0,1,0,0,0
8,165000,1248,95,4.1,388500,5,1,0,0,0,0,1,0,0,0,1,0,0
9,116900,1248,95,4.1,445000,3,1,0,0,0,0,1,0,0,0,1,0,0
10,6433,1248,95,4.1,619000,1,1,0,0,0,0,1,0,0,0,1,0,0
11,9000,1368,95,6.4,595000,1,1,0,0,0,0,1,0,0,1,0,0,0
12,222000,1248,95,4.1,418000,5,1,0,0,0,0,1,0,0,0,1,0,0
13,152000,1248,95,4.1,372000,5,1,0,0,0,0,1,0,0,0,1,0,0
14,29000,1368,95,5.7,349000,4,1,0,0,0,0,1,0,0,1,0,0,0
15,6857,1368,95,6.4,496500,1,1,0,0,0,0,1,0,0,1,0,0,0
16,76000,1248,95,4.1,457500,4,1,0,0,0,0,1,0,0,0,1,0,0
17,25000,1368,95,6.4,475500,2,1,0,0,0,0,1,0,0,1,0,0,0
18,123000,1598,120,3.9,505000,4,1,0,0,0,0,0,0,1,0,1,0,0
19,226500,1248,95,4.1,355000,6,1,0,0,0,0,1,0,0,0,1,0,0
20,40000,1248,95,4.1,479000,2,1,0,0,0,0,1,0,0,0,1,0,0
21,20801,1368,95,5.7,530000,3,1,0,0,0,0,1,0,0,1,0,0,0
22,119000,1248,95,4.1,355000,7,1,0,0,0,0,1,0,0,0,1,0,0
23,165000,1598,120,3.9,470000,5,1,0,0,0,0,0,0,1,0,1,0,0
24,49000,1368,95,5.7,449750,4,1,0,0,0,0,1,0,0,1,0,0,0
25,376600,1248,95,4.1,249900,5,1,0,0,0,0,1,0,0,0,1,0,0
26,143000,1248,95,4.1,347000,6,1,0,0,0,0,1,0,0,0,1,0,0
27,134000,1368,95,5.7,387000,4,1,0,0,0,0,1,0,0,1,0,0,0
28,119000,1598,120,3.9,499000,6,1,0,0,0,0,0,0,1,0,1,0,0
29,63961,1598,120,3.9,545000,4,1,0,0,0,0,0,0,1,0,1,0,0
30,187000,1598,110,6.3,440000,7,1,0,0,0,0,0,1,0,0,0,0,1
31,7800,1368,95,6.4,360000,2,1,0,0,0,0,1,0,0,1,0,0,0
32,69000,1368,95,5.7,405000,6,1,0,0,0,0,1,0,0,1,0,0,0
33,23000,1368,95,5.7,510000,3,1,0,0,0,0,1,0,0,1,0,0,0
34,6764,1598,120,3.8,605000,3,1,0,0,0,0,0,0,1,0,1,0,0
35,118000,1368,95,5.7,405900,7,1,0,0,0,0,1,0,0,0,0,0,1
36,109000,1368,95,5.7,427000,4,1,0,0,0,0,1,0,0,1,0,0,0
37,6010,1248,95,4.1,600000,1,1,0,0,0,0,1,0,0,0,1,0,0
38,81000,1368,95,5.7,475000,7,1,0,0,0,0,1,0,0,0,0,0,1
39,64000,1598,120,4.2,445000,7,1,0,0,0,0,1,0,0,0,1,0,0
40,80000,1368,95,5.7,487000,5,1,0,0,0,0,1,0,0,1,0,0,0
41,166000,1248,95,4.1,405000,7,1,0,0,0,0,1,0,0,0,1,0,0
42,48000,1368,95,5.7,430000,7,1,0,0,0,0,1,0,0,0,0,0,1
43,29500,1368,95,5.7,400000,4,1,0,0,0,0,1,0,0,1,0,0,0
44,164000,1598,120,3.9,440000,6,1,0,0,0,0,0,0,1,0,1,0,0
45,88483,1248,95,4.1,449750,3,1,0,0,0,0,1,0,0,0,1,0,0
46,83792,1248,95,4.1,449750,3,1,0,0,0,0,1,0,0,0,1,0,0
47,137326,1598,120,3.9,449750,4,1,0,0,0,0,0,0,1,0,1,0,0
48,108288,1248,95,4.1,415000,5,1,0,0,0,0,1,0,0,0,1,0,0
49,105000,1248,95,4.1,428500,5,1,0,0,0,0,1,0,0,0,1,0,0
50,47000,1248,95,4.1,509950,2,1,0,0,0,0,1,0,0,0,1,0,0
51,123000,1248,95,4.1,455000,3,1,0,0,0,0,1,0,0,0,1,0,0
52,27000,1368,95,6.6,490000,2,1,0,0,0,0,1,0,0,1,0,0,0
53,106188,1598,120,3.9,489950,5,1,0,0,0,0,0,0,1,0,1,0,0
54,147000,1598,120,3.9,469750,4,1,0,0,0,0,0,0,1,0,1,0,0
55,52000,1368,95,5.7,515000,3,1,0,0,0,0,1,0,0,1,0,0,0
56,82000,1368,95,5.7,385000,8,1,0,0,0,0,1,0,0,0,0,0,1
57,395000,1248,95,4.1,269900,7,1,0,0,0,0,1,0,0,0,1,0,0
58,97300,1598,120,3.9,505000,6,1,0,0,0,0,0,0,1,0,1,0,0
59,112000,1598,120,3.9,475000,5,1,0,0,0,0,0,0,1,0,1,0,0
60,69000,1368,95,5.7,555000,7,1,0,0,0,0,1,0,0,1,0,0,0
61,83000,1248,95,4.1,405000,5,1,0,0,0,0,1,0,0,0,1,0,0
62,91000,1248,95,4.1,397500,6,1,0,0,0,0,1,0,0,0,1,0,0
63,88000,1598,120,3.9,470000,6,1,0,0,0,0,0,0,1,0,1,0,0
64,44000,1248,95,4.1,515000,2,1,0,0,0,0,1,0,0,0,1,0,0
65,138000,1248,95,4.1,445000,6,1,0,0,0,0,1,0,0,0,1,0,0
66,18000,1368,95,5.7,450000,3,1,0,0,0,0,1,0,0,1,0,0,0
67,110000,1248,95,4.1,417000,6,1,0,0,0,0,1,0,0,0,1,0,0
68,115000,1248,95,4.1,425000,5,1,0,0,0,0,1,0,0,0,1,0,0
69,83000,1368,95,6.4,429500,2,1,0,0,0,0,1,0,0,1,0,0,0
70,80000,1368,95,5.7,468500,3,1,0,0,0,0,1,0,0,1,0,0,0
71,57827,1248,95,4.1,489900,3,1,0,0,0,0,1,0,0,0,1,0,0
72,175000,1598,120,4.2,410000,6,1,0,0,0,0,1,0,0,0,1,0,0
73,38200,1368,95,5.7,430000,4,1,0,0,0,0,1,0,0,1,0,0,0
74,126000,1598,120,3.9,492500,4,1,0,0,0,0,0,0,1,0,1,0,0
75,94000,1598,110,6.3,467000,7,1,0,0,0,0,0,1,0,0,0,0,1
76,200000,1248,95,4.1,332500,6,1,0,0,0,0,1,0,0,0,1,0,0
77,139000,1248,95,4.1,425000,4,1,0,0,0,0,1,0,0,0,1,0,0
78,105000,1248,95,4.1,425000,4,1,0,0,0,0,1,0,0,0,1,0,0
79,100000,1248,95,4.1,405000,4,1,0,0,0,0,1,0,0,0,1,0,0
80,167000,1598,120,3.9,435000,5,1,0,0,0,0,0,0,1,0,1,0,0
81,38000,1248,95,4.1,505000,3,1,0,0,0,0,1,0,0,0,1,0,0
82,165500,1248,95,4.1,445000,6,1,0,0,0,0,1,0,0,0,1,0,0
83,60000,1248,95,4.1,465000,4,1,0,0,0,0,1,0,0,0,1,0,0
84,77000,1248,95,4.1,483000,5,1,0,0,0,0,1,0,0,0,1,0,0
85,6006,1368,95,6.4,515000,1,1,0,0,0,0,1,0,0,1,0,0,0
86,5000,1368,95,6.4,509000,1,1,0,0,0,0,1,0,0,1,0,0,0
87,154000,1248,95,4.1,445000,4,1,0,0,0,0,1,0,0,0,1,0,0
88,52000,1368,95,5.7,415000,4,1,0,0,0,0,1,0,0,1,0,0,0
89,232809,1248,95,4.1,354500,5,1,0,0,0,0,1,0,0,0,1,0,0
90,162000,1248,95,4.1,407500,6,1,0,0,0,0,1,0,0,0,1,0,0
91,81800,1248,95,3.7,425000,5,1,0,0,0,0,1,0,0,0,1,0,0
92,6100,1368,95,5.7,489900,2,1,0,0,0,0,1,0,0,1,0,0,0
93,85000,1598,120,4.2,449000,8,1,0,0,0,0,1,0,0,0,1,0,0
94,23000,1368,95,6.4,497500,2,1,0,0,0,0,1,0,0,1,0,0,0
95,111000,1248,95,4.1,436000,5,1,0,0,0,0,1,0,0,0,1,0,0
96,170000,1248,95,4.1,329999,6,1,0,0,0,0,1,0,0,0,1,0,0
97,22000,1368,95,5.7,467500,3,1,0,0,0,0,1,0,0,1,0,0,0
98,33000,1368,95,6.4,487500,2,1,0,0,0,0,1,0,0,1,0,0,0
99,21700,1368,95,6.6,510000,2,1,0,0,0,0,1,0,0,0,0,0,1
100,83000,1248,95,4.1,410000,6,1,0,0,0,0,1,0,0,0,1,0,0
101,20000,1248,95,4.1,539000,2,1,0,0,0,0,1,0,0,0,1,0,0
102,390000,1248,95,4.1,291000,4,1,0,0,0,0,1,0,0,0,1,0,0
103,109000,1248,95,4.1,385000,6,1,0,0,0,0,1,0,0,0,1,0,0
104,45200,1368,95,5.7,399500,4,1,0,0,0,0,1,0,0,1,0,0,0
105,55000,999,100,5.3,475000,2,1,0,0,0,0,1,0,0,1,0,0,0
106,40000,1368,95,5.7,490000,3,1,0,0,0,0,1,0,0,1,0,0,0
107,65600,1248,95,4.1,422500,5,1,0,0,0,0,1,0,0,0,1,0,0
108,174000,1248,95,4.1,365000,5,1,0,0,0,0,1,0,0,0,1,0,0
109,14864,1368,95,6.4,533000,1,1,0,0,0,0,1,0,0,1,0,0,0
110,10523,1368,95,6.4,533000,1,1,0,0,0,0,1,0,0,1,0,0,0
111,165000,1248,95,4.1,365000,6,1,0,0,0,0,1,0,0,0,1,0,0
112,72000,1598,110,6.3,580000,6,1,0,0,0,0,0,1,0,1,0,0,0
113,63000,1248,95,4.1,468000,5,1,0,0,0,0,1,0,0,0,1,0,0
114,120250,1248,95,4.1,400000,7,1,0,0,0,0,1,0,0,0,1,0,0
115,151000,1248,95,4.1,400000,7,1,0,0,0,0,1,0,0,0,1,0,0
116,117500,1248,95,3.7,467000,4,1,0,0,0,0,1,0,0,0,1,0,0
117,95000,1248,95,4.1,454000,3,1,0,0,0,0,1,0,0,0,1,0,0
118,2001,1368,95,6.4,532000,1,1,0,0,0,0,1,0,0,1,0,0,0
119,106000,1248,95,4.1,405000,7,1,0,0,0,0,1,0,0,0,1,0,0
120,180000,1598,120,3.9,399000,6,1,0,0,0,0,0,0,1,0,1,0,0
121,89000,1248,95,4.1,445000,6,1,0,0,0,0,1,0,0,0,1,0,0
122,74500,1368,95,5.7,429000,7,1,0,0,0,0,1,0,0,0,0,0,1
123,73000,1368,95,5.7,418000,5,1,0,0,0,0,1,0,0,0,0,0,1
124,12000,1368,95,6.4,517000,1,1,0,0,0,0,1,0,0,0,0,0,1
125,44000,1248,95,4.1,525000,3,1,0,0,0,0,1,0,0,0,1,0,0
126,22800,1248,95,4.1,535000,4,1,0,0,0,0,1,0,0,0,1,0,0
127,17175,1248,95,4.1,462500,5,1,0,0,0,0,1,0,0,0,1,0,0
128,12000,1368,95,6.4,460000,2,1,0,0,0,0,1,0,0,1,0,0,0
129,109000,1248,95,4.1,410000,6,1,0,0,0,0,1,0,0,0,1,0,0
130,22000,1368,95,6.4,530000,2,1,0,0,0,0,1,0,0,1,0,0,0
131,18000,1368,95,6.4,476900,2,1,0,0,0,0,1,0,0,1,0,0,0
132,105000,1598,120,3.9,499900,4,1,0,0,0,0,0,0,1,0,1,0,0
133,93000,1248,95,4.1,460000,4,1,0,0,0,0,1,0,0,0,1,0,0
134,15000,1368,95,5.7,470000,3,1,0,0,0,0,1,0,0,1,0,0,0
135,227000,1248,95,4.1,399950,4,1,0,0,0,0,1,0,0,0,1,0,0
136,192000,1248,95,4.1,379950,6,1,0,0,0,0,1,0,0,0,1,0,0
137,149000,1248,95,4.1,359000,6,1,0,0,0,0,1,0,0,0,1,0,0
138,91200,1248,95,4.1,416500,4,1,0,0,0,0,1,0,0,0,1,0,0
139,84000,1598,120,3.9,479000,4,1,0,0,0,0,0,0,1,0,1,0,0
140,94500,1248,95,4.1,449000,3,1,0,0,0,0,1,0,0,0,1,0,0
141,6001,1248,95,4.1,605000,0,1,0,0,0,0,1,0,0,0,1,0,0
142,62000,1598,120,3.9,552500,3,1,0,0,0,0,0,0,1,0,1,0,0
143,134000,1248,95,4.1,450000,5,1,0,0,0,0,1,0,0,0,1,0,0
144,134274,1598,120,3.9,500000,6,1,0,0,0,0,0,0,1,0,1,0,0
145,6000,1368,95,6.4,530000,1,1,0,0,0,0,1,0,0,1,0,0,0
146,153000,1248,95,4.1,389950,5,1,0,0,0,0,1,0,0,0,1,0,0
147,113000,1248,95,4.1,427000,5,1,0,0,0,0,1,0,0,0,1,0,0
148,64500,1368,95,5.7,416500,4,1,0,0,0,0,1,0,0,1,0,0,0
149,99000,1598,120,4.2,453750,7,1,0,0,0,0,1,0,0,0,1,0,0
150,19000,1248,95,4.1,520000,3,1,0,0,0,0,1,0,0,0,1,0,0
151,9000,1598,130,4.4,655000,1,1,0,0,0,0,0,0,1,0,1,0,0
152,27000,1368,95,5.7,450000,3,1,0,0,0,0,1,0,0,1,0,0,0
153,26000,1368,95,5.7,475000,3,1,0,0,0,0,1,0,0,1,0,0,0
154,72440,1598,120,3.9,554500,4,1,0,0,0,0,0,0,1,0,1,0,0
155,60000,1598,130,4.3,530000,2,1,0,0,0,0,1,0,0,0,1,0,0
156,55114,1368,95,6.4,579500,2,1,0,0,0,0,1,0,0,1,0,0,0
157,89000,1368,95,5.7,418000,7,1,0,0,0,0,1,0,0,0,0,0,1
158,44000,1368,95,6.4,530000,2,1,0,0,0,0,1,0,0,1,0,0,0
159,21000,1368,95,6.4,515000,2,1,0,0,0,0,1,0,0,1,0,0,0
160,125000,1248,95,4.1,425000,7,1,0,0,0,0,1,0,0,0,1,0,0
161,7000,1368,95,5.7,445750,3,1,0,0,0,0,1,0,0,1,0,0,0
162,86000,1248,95,4.1,439900,4,1,0,0,0,0,1,0,0,0,1,0,0
163,128500,1598,120,4.2,396000,8,1,0,0,0,0,1,0,0,0,1,0,0
164,224947,1368,95,5.7,365000,7,1,0,0,0,0,1,0,0,1,0,0,0
165,16000,1248,95,4.1,537000,2,1,0,0,0,0,1,0,0,0,1,0,0
166,180000,1598,120,3.9,435000,6,1,0,0,0,0,0,0,1,0,1,0,0
167,28000,1598,130,4.3,700000,2,1,0,0,0,0,1,0,0,0,1,0,0
168,60000,1368,95,5.7,400000,3,1,0,0,0,0,1,0,0,0,0,0,1
169,153000,1248,95,4.1,295000,7,1,0,0,0,0,1,0,0,0,1,0,0
170,220000,1248,95,4.1,375000,7,1,0,0,0,0,1,0,0,0,1,0,0
171,89000,1598,120,4.2,469900,6,1,0,0,0,0,1,0,0,0,1,0,0
172,205000,1598,120,3.9,404750,5,1,0,0,0,0,0,0,1,0,1,0,0
173,90000,1248,95,4.1,455000,3,1,0,0,0,0,1,0,0,0,1,0,0
174,49500,1598,120,3.8,639000,3,1,0,0,0,0,0,0,1,0,1,0,0
175,162000,1248,95,4.1,379950,6,1,0,0,0,0,1,0,0,0,1,0,0
176,190500,1248,95,4.1,361500,7,1,0,0,0,0,1,0,0,0,1,0,0
177,6001,1598,130,4.4,669900,1,1,0,0,0,0,0,0,1,0,1,0,0
178,75000,1368,95,5.7,352000,4,1,0,0,0,0,1,0,0,0,0,0,1
179,45100,1368,95,5.7,425000,3,1,0,0,0,0,1,0,0,0,0,0,1
180,119000,1248,95,4.1,419000,5,1,0,0,0,0,1,0,0,0,1,0,0
181,19000,1368,95,6.6,535000,1,1,0,0,0,0,1,0,0,1,0,0,0
182,16000,1248,95,4.1,425000,5,1,0,0,0,0,1,0,0,0,1,0,0
183,198000,1248,95,4.1,379000,5,1,0,0,0,0,1,0,0,0,1,0,0
184,72000,1248,95,4.1,480000,3,1,0,0,0,0,1,0,0,0,1,0,0
185,80000,1368,95,5.7,410000,7,1,0,0,0,0,1,0,0,1,0,0,0
186,43500,1368,95,5.7,444500,4,1,0,0,0,0,1,0,0,1,0,0,0
187,99850,1248,95,4.1,395000,6,1,0,0,0,0,1,0,0,0,1,0,0
188,73000,1598,120,4.2,485000,7,1,0,0,0,0,1,0,0,0,1,0,0
189,129000,1598,120,3.9,440000,5,1,0,0,0,0,0,0,1,0,1,0,0
190,93950,1248,95,4.1,440000,8,1,0,0,0,0,1,0,0,0,1,0,0
191,40000,1368,95,5.7,430000,5,1,0,0,0,0,1,0,0,0,0,0,1
192,75000,1248,95,4.1,455000,6,1,0,0,0,0,1,0,0,0,1,0,0
193,34750,1368,95,5.7,468000,2,1,0,0,0,0,1,0,0,1,0,0,0
